ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level
AL081933,Storm 11 in 1933,16900000,490.2068652876139,9210000000,1933-09-05 04:30:00,110,940.0,TX,2116.317925053704,162902,26.1,-97.275,-14.763129844009484
AL121933,Storm 13 in 1933,4750000,197.4675619300387,1770000000,1933-09-16 14:30:00,90,952.8333333333334,NC,2116.317925053704,113662,35.56875,-75.27108333333334,-32.313428332562985
AL011934,Storm 2 in 1934,2605000,80.25505940939703,710000000,1934-06-16 19:00:00,85,966.0,LA,2151.243230422581,150885,29.7,-91.7,-1.5702084170196828
AL031934,Storm 3 in 1934,1500000,67.00255990388837,640000000,1934-07-25 18:00:00,75,979.0,TX,2151.243230422581,104066,28.1,-97.0,-9.86517903462753
AL031935,Labor Day,5000000,128.62185214560603,2320000000,1935-09-03 06:30:00,160,899.4659090909091,FL,2165.4810697068197,179515,25.146533333333334,-81.13974999999999,23.28135570915194
AL031935,Labor Day,1000000,97.32968894092332,330000000,1935-09-04 22:30:00,85,965.484375,FL,2165.4810697068197,47446,29.675,-83.4,10.070085543114683
AL071935,Storm 6 in 1935,5500000,107.36707994363495,10420000000,1935-11-04 18:00:00,85,973.0,FL,2165.4810697068197,236558,25.9,-80.1,30.089810094288406
AL031936,Storm 3 in 1936,550000,19.750989714587952,190000000,1936-06-27 17:00:00,70,987.0,TX,2369.3059033710147,117531,28.0,-97.15,-11.77873340961958
AL051936,Storm 5 in 1936,123000,4.561597457798956,110000000,1936-07-31 14:00:00,90,964.0,FL,2369.3059033710147,113806,30.4,-86.6,26.369661293452992
AL131936,Storm 13 in 1936,1600000,22.474081084854486,940000000,1936-09-18 12:00:00,85,965.0,NC,2369.3059033710147,300481,35.9,-74.8,34.2094127040711
AL031938,Storm 2 in 1938,245000,6.909449358335176,31000000,1938-08-15 01:00:00,65,,LA,2475.205625956958,143256,29.8,-93.4,4.790611588543623
AL061938,New England,306000000,121.47743863175633,60680000000,1938-09-21 20:00:00,105,941.0,NY,2475.205625956958,10176877,40.7,-72.9,46.776237634504966
AL021940,Storm 2 in 1940,9000000,162.78706322336194,1370000000,1940-08-07 20:30:00,85,972.0,TX,2697.506849729795,204956,29.683333333333334,-94.05,-4.300353103941477
AL031940,Storm 3 in 1940,7000000,131.30582313906174,1930000000,1940-08-11 20:30:00,85,972.5,SC,2697.506849729795,197629,32.106899999999996,-80.8845,99.87138279002819
AL021941,Storm 2 in 1941,7000000,251.78699806032665,3820000000,1941-09-23 22:00:00,110,989.0,TX,3050.9287716825816,91124,28.8,-95.6,17.625620870321963
AL051941,Storm 5 in 1941,337500,3.493659260505357,210000000,1941-10-06 11:00:00,85,986.7916666666666,FL,3050.9287716825816,316637,25.5,-80.3,0.5701150152372155
AL051941,Storm 5 in 1941,337500,15.493439998970347,100000000,1941-10-07 09:00:00,80,982.0,FL,3050.9287716825816,71399,29.9,-84.6,23.900813721797427
AL021942,Storm 1 in 1942,601000,4.944246336432664,280000000,1942-08-21 13:30:00,67,,TX,3445.0541302091024,352840,29.549075000000002,-94.650025,-7.602249771482885
AL031942,Storm 2 in 1942,26500000,1147.8869877574205,3090000000,1942-08-30 09:30:00,100,950.3333333333334,TX,3445.0541302091024,67012,28.383333333333333,-96.69999999999999,-18.730031788528297
AL011943,Storm 1 in 1943,16550000,127.3202335140064,6620000000,1943-07-27 18:00:00,90,967.0,TX,3780.194384923101,343864,29.5,-94.6,7.753739081902265
AL031944,Storm 3 in 1944,2000000,27.015019961437822,520000000,1944-08-01 23:00:00,70,985.0,NC,4002.976943141832,184945,33.9,-78.1,72.1652941789176
AL071944,Storm 7 in 1944,10000000,208.02521675665858,11200000000,1944-09-14 15:00:00,105,943.0,NC,4002.976943141832,120088,35.7246,-75.1371,-34.38185033461071
AL071944,Storm 7 in 1944,90000000,155.74469096553952,13730000000,1944-09-15 02:00:00,90,954.0,NY,4002.976943141832,1443598,40.9,-72.2,-13.716425811619454
AL131944,Storm 11 in 1944,63000000,728.49294279065,78840000000,1944-10-19 07:00:00,95,962.0,FL,4002.976943141832,216039,27.2,-82.5,10.97503731864956
AL131944,Storm 11 in 1944,37000000,326.0564528435125,6150000000,1944-10-19 22:00:00,60,978.6666666666666,SC,4002.976943141832,283482,30.743266666666667,-81.49973333333334,-55.698009486689614
AL051945,Storm 5 in 1945,20000000,690.8601849985452,2830000000,1945-08-27 15:00:00,100,964.0,TX,4272.9117832027905,67751,28.4076,-96.4926,2.7825271934438955
AL091945,Storm 9 in 1945,60000000,383.2406447849672,20380000000,1945-09-15 19:30:00,115,949.0,FL,4272.9117832027905,366400,25.3,-80.3,-1.4189939526018902
AL061946,Storm 5 in 1946,5200000,26.210056486706897,1700000000,1946-10-08 02:00:00,75,980.0,FL,4943.1002411785885,401362,27.5,-82.6,2.785321526105235
AL071946,Storm 6 in 1946,7000000,76.96883621410544,5990000000,1946-11-01 21:30:00,40,1002.0,FL,4943.1002411785885,183986,26.5201,-80.0227,-0.31968435942230383
AL031947,Storm 3 in 1947,200000,0.7231530985510258,47000000,1947-08-24 22:30:00,70,984.0,TX,5602.736494456242,493628,29.225,-94.92500000000001,-18.88952498827878
AL041947,Storm 4 in 1947,31000000,113.25525376383239,21770000000,1947-09-17 16:30:00,115,943.0,FL,5602.736494456242,488543,26.1,-80.1,34.702965036405715
AL041947,Storm 4 in 1947,79000000,205.5904001851886,2830000000,1947-09-19 14:30:00,95,966.0,LA,5602.736494456242,685842,29.65795,-89.6426,34.889269270819184
AL061947,Storm 6 in 1947,100000,2.9461510767169896,45000000,1947-09-23 22:30:00,55,987.4375,FL,5602.736494456242,60582,28.881500000000003,-82.70625,-42.91389422818336
AL071947,Storm 7 in 1947,100000,0.5760248301123713,22000000,1947-10-07 04:00:00,50,,FL,5602.736494456242,309855,30.8,-81.5,23.284185982073772
AL091947,Storm 8 in 1947,20000000,135.1281592126333,6640000000,1947-10-12 02:30:00,80,975.0875,FL,5602.736494456242,264170,25.4481,-81.08680000000001,17.2252682133177
AL091947,Storm 8 in 1947,3000000,22.744468520212365,350000000,1947-10-15 12:30:00,90,966.0,GA,5602.736494456242,235421,31.789166666666667,-81.26075,117.99382858101677
AL051948,Storm 5 in 1948,900000,4.848028129540422,44000000,1948-09-04 08:00:00,70,983.5,LA,5887.568113154792,315313,29.269750000000002,-90.39985,-2.5869913521851933
AL081948,Storm 7 in 1948,12000000,2328.8693061727517,5890000000,1948-09-22 05:00:00,115,940.0,FL,5887.568113154792,8752,25.8,-81.3,7.432386462277481
