ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level,travel_speed_before_landfall_m_s,travel_speed_after_landfall_m_s,travel_speed_at_landfall_m_s,STORM_SPEED,DIST2LAND,STORM_DIR,r34_ne_at_landfall,r34_se_at_landfall,r34_sw_at_landfall,r34_nw_at_landfall,r34_area_at_landfall,r34_mean_at_landfall,r50_ne_at_landfall,r50_se_at_landfall,r50_sw_at_landfall,r50_nw_at_landfall,r50_area_at_landfall,r50_mean_at_landfall,r64_ne_at_landfall,r64_se_at_landfall,r64_sw_at_landfall,r64_nw_at_landfall,r64_area_at_landfall,r64_mean_at_landfall
AL021932,Freeport,7500000,216.7244327671565,12650000000,1932-08-14 04:00:00,130,935.0,TX,2012.821231062274,171929,29.0,-95.2,-26.57429477952822,4.100196923856747,4.34017089792532,4.151694079928015,10,22,305, , , , ,,, , , , ,,, , , , ,,
AL061933,Storm 8 in 1933,27000000,1109.9609360963527,7410000000,1933-08-23 11:00:00,81,964.5,NC,2116.317925053704,114941,35.95,-75.69999999999999,4.023446186475298,5.259891936842023,5.257736187377062,5.258811867713016,11,8,330, , , , ,,, , , , ,,, , , , ,,
AL111933,Storm 12 in 1933,1000000,57.33778862426957,2720000000,1933-09-04 05:00:00,110,948.0,FL,2116.317925053704,82410,26.9,-80.1,-35.26124638897179,6.323446518304952,6.3171203028437075,6.321331724566621,13,0,300, , , , ,,, , , , ,,, , , , ,,
AL081933,Storm 11 in 1933,16900000,490.2068652876139,9210000000,1933-09-05 04:30:00,110,940.0,TX,2116.317925053704,162902,26.1,-97.275,-14.763129844009466,4.1680332085292475,4.1680327477708285,4.168032344606694,8,9,270, , , , ,,, , , , ,,, , , , ,,
AL121933,Storm 13 in 1933,4750000,197.4675619300387,1770000000,1933-09-16 14:30:00,90,952.8333333333334,NC,2116.317925053704,113662,35.56875,-75.27108333333334,-32.31342833256295,4.7284092933725805,4.064628961001612,4.440194373309053,10,35,20, , , , ,,, , , , ,,, , , , ,,
AL011934,Storm 2 in 1934,2605000,80.25505940939703,710000000,1934-06-16 19:00:00,85,966.0,LA,2151.243230422581,150885,29.7,-91.7,-1.5702084170196828,3.0790712564475107,6.302777700152974,5.20935235003526,10,0,355, , , , ,,, , , , ,,, , , , ,,
AL031934,Storm 3 in 1934,1500000,67.00255990388837,640000000,1934-07-25 18:00:00,75,979.0,TX,2151.243230422581,104066,28.1,-97.0,-9.86517903462753,5.459494652421402,6.369402356881435,6.141918166819355,11,9,275, , , , ,,, , , , ,,, , , , ,,
AL031935,Labor Day,5000000,128.62185214560603,2320000000,1935-09-03 06:30:00,160,899.4659090909091,FL,2165.48106970682,179515,25.14653333333333,-81.13974999999999,23.28135570915194,3.62779100158243,3.5985760019587762,3.5985190277329715,6,0,320, , , , ,,, , , , ,,, , , , ,,
AL031935,Labor Day,1000000,97.32968894092332,330000000,1935-09-04 22:30:00,85,965.484375,FL,2165.48106970682,47446,29.675,-83.4,10.070085543114685,4.618598168782037,4.618702905122844,4.618676721037617,9,0,0, , , , ,,, , , , ,,, , , , ,,
AL071935,Storm 6 in 1935,5500000,107.36707994363496,10420000000,1935-11-04 18:00:00,85,973.0,FL,2165.48106970682,236558,25.9,-80.1,30.089810094288406,5.658205723288759,5.662817695855522,5.66049589966376,11,59,255, , , , ,,, , , , ,,, , , , ,,
AL031936,Storm 3 in 1936,550000,19.750989714587952,190000000,1936-06-27 17:00:00,70,987.0,TX,2369.3059033710147,117531,28.0,-97.15,-11.778733409620024,5.12721810920444,5.124219822605118,5.125717158926261,10,14,310, , , , ,,, , , , ,,, , , , ,,
AL051936,Storm 5 in 1936,123000,4.561597457798956,110000000,1936-07-31 14:00:00,90,964.0,FL,2369.3059033710147,113806,30.4,-86.6,26.369661293452992,4.8085567634543525,4.074457907669969,4.475620078249731,7,0,325, , , , ,,, , , , ,,, , , , ,,
AL131936,Storm 13 in 1936,1600000,22.47408108485449,940000000,1936-09-18 12:00:00,85,965.0,NC,2369.3059033710147,300481,35.9,-74.8,34.2094127040711,5.204680955442599,6.2205842045633,5.712054416828833,9,84,345, , , , ,,, , , , ,,, , , , ,,
AL031938,Storm 2 in 1938,245000,6.909449358335176,31000000,1938-08-15 01:00:00,65,,LA,2475.205625956958,143256,29.8,-93.4,4.790611588543623,9.620792860008835,7.813798506763222,8.403699445461031,16,33,345, , , , ,,, , , , ,,, , , , ,,
AL061938,New England,306000000,121.47743863175631,60680000000,1938-09-21 20:00:00,105,941.0,NY,2475.205625956958,10176877,40.7,-72.9,46.776237634504966,21.590069411711198,18.50898489649981,20.563041239974027,41,0,355, , , , ,,, , , , ,,, , , , ,,
AL021940,Storm 2 in 1940,9000000,162.78706322336194,1370000000,1940-08-07 20:30:00,85,972.0,TX,2697.506849729795,204956,29.683333333333334,-94.05,-4.300353103941477,2.8789165938256316,2.8776777296983367,2.8787096887466617,5,0,295, , , , ,,, , , , ,,, , , , ,,
AL031940,Storm 3 in 1940,7000000,131.30582313906174,1930000000,1940-08-11 20:30:00,85,972.5,SC,2697.506849729795,197629,32.1069,-80.8845,99.8713827900282,4.451282647963164,6.071390433235688,5.243912606437505,11,0,270, , , , ,,, , , , ,,, , , , ,,
AL021941,Storm 2 in 1941,7000000,251.78699806032665,3820000000,1941-09-23 22:00:00,110,989.0,TX,3050.9287716825816,91124,28.8,-95.6,17.625620870321963,3.078656983157865,3.0787254758180738,3.0787026449313886,8,14,350, , , , ,,, , , , ,,, , , , ,,
AL051941,Storm 5 in 1941,337500,3.493659260505357,210000000,1941-10-06 11:00:00,85,986.7916666666666,FL,3050.9287716825816,316637,25.5,-80.3,0.5701150152372155,2.7927144884708914,15.249129931811314,8.918871959539773,8,10,280, , , , ,,, , , , ,,, , , , ,,
AL051941,Storm 5 in 1941,337500,15.493439998970349,100000000,1941-10-07 09:00:00,80,982.0,FL,3050.9287716825816,71399,29.9,-84.6,23.900813721797427,7.184391724505685,4.105708585588815,5.645050155047237,14,62,350, , , , ,,, , , , ,,, , , , ,,
AL021942,Storm 1 in 1942,601000,4.944246336432664,280000000,1942-08-21 13:30:00,67,,TX,3445.0541302091024,352840,29.549075,-94.650025,-7.602249771482986,4.048645754376896,4.10276517203068,4.089160704990413,8,0,320, , , , ,,, , , , ,,, , , , ,,
AL031942,Storm 2 in 1942,26500000,1147.8869877574205,3090000000,1942-08-30 09:30:00,100,950.3333333333334,TX,3445.0541302091024,67012,28.383333333333333,-96.7,-18.730031788528297,7.483121762581033,7.473916612836038,7.475443724484608,13,9,315, , , , ,,, , , , ,,, , , , ,,
AL011943,Storm 1 in 1943,16550000,127.3202335140064,6620000000,1943-07-27 18:00:00,90,967.0,TX,3780.194384923101,343864,29.5,-94.6,7.753739081902265,2.883651609854213,2.8811843146852647,2.882414910702634,6,24,300, , , , ,,, , , , ,,, , , , ,,
AL031944,Storm 3 in 1944,2000000,27.015019961437822,520000000,1944-08-01 23:00:00,70,985.0,NC,4002.976943141832,184945,33.9,-78.1,72.1652941789176,10.86020016695804,6.675343355656379,9.401272746530347,15,0,350, , , , ,,, , , , ,,, , , , ,,
AL071944,Storm 7 in 1944,10000000,208.02521675665855,11200000000,1944-09-14 15:00:00,105,943.0,NC,4002.976943141832,120088,35.7246,-75.1371,-34.3818503346108,12.77388323767253,14.590530424083244,13.67307212559634,23,93,10, , , , ,,, , , , ,,, , , , ,,
AL071944,Storm 7 in 1944,90000000,155.74469096553952,13730000000,1944-09-15 02:00:00,90,954.0,NY,4002.976943141832,1443598,40.9,-72.2,-13.716425811619454,19.412994668564476,11.607335619497478,16.81088900775314,20,11,40, , , , ,,, , , , ,,, , , , ,,
AL131944,Storm 11 in 1944,63000000,728.49294279065,78840000000,1944-10-19 07:00:00,95,962.0,FL,4002.976943141832,216039,27.2,-82.5,10.97503731864956,9.636171835067604,8.170458599456554,8.656347968782644,17,29,10, , , , ,,, , , , ,,, , , , ,,
AL131944,Storm 11 in 1944,37000000,326.0564528435125,6150000000,1944-10-19 22:00:00,60,978.6666666666666,SC,4002.976943141832,283482,30.743266666666667,-81.49973333333334,-55.698009486689614,7.49146695792239,7.156403975655576,7.240191975982525,14,0,10, , , , ,,, , , , ,,, , , , ,,
AL051945,Storm 5 in 1945,20000000,690.8601849985452,2830000000,1945-08-27 15:00:00,100,964.0,TX,4272.911783202791,67751,28.4076,-96.4926,2.7825271934438955,2.8435952916495983,2.6355817911141983,2.7395876517421724,5,9,40, , , , ,,, , , , ,,, , , , ,,
AL091945,Storm 9 in 1945,60000000,383.2406447849672,20380000000,1945-09-15 19:30:00,115,949.0,FL,4272.911783202791,366400,25.3,-80.3,-1.4189939526018902,6.941492177473925,8.315661669496407,7.254666026809666,14,0,320, , , , ,,, , , , ,,, , , , ,,
AL061946,Storm 5 in 1946,5200000,26.210056486706897,1700000000,1946-10-08 02:00:00,75,980.0,FL,4943.1002411785885,401362,27.5,-82.6,2.785321526105235,8.73153638793072,9.632707911930844,8.988368229484857,17,0,5, , , , ,,, , , , ,,, , , , ,,
AL071946,Storm 6 in 1946,7000000,76.96883621410544,5990000000,1946-11-01 21:30:00,40,1002.0,FL,4943.1002411785885,183986,26.5201,-80.0227,-0.3196843594223038,10.042919864295888,6.51898363401551,8.280160623953135,16,19,320, , , , ,,, , , , ,,, , , , ,,
AL031947,Storm 3 in 1947,200000,0.7231530985510258,47000000,1947-08-24 22:30:00,70,984.0,TX,5602.736494456242,493628,29.225,-94.925,-18.88952498827878,2.047881621871838,2.047457489432045,2.047563436123654,4,11,310, , , , ,,, , , , ,,, , , , ,,
AL041947,Storm 4 in 1947,31000000,113.2552537638324,21770000000,1947-09-17 16:30:00,115,943.0,FL,5602.736494456242,488543,26.1,-80.1,34.702965036405715,3.7049180947208056,5.557376459475854,4.631145229271527,8,19,250, , , , ,,, , , , ,,, , , , ,,
AL041947,Storm 4 in 1947,79000000,205.5904001851886,2830000000,1947-09-19 14:30:00,95,966.0,LA,5602.736494456242,685842,29.65795,-89.6426,34.889269270819184,8.461484452465843,8.851465347104725,8.636129066239985,15,9,295, , , , ,,, , , , ,,, , , , ,,
AL061947,Storm 6 in 1947,100000,2.9461510767169896,45000000,1947-09-23 22:30:00,55,987.4375,FL,5602.736494456242,60582,28.881500000000003,-82.70625,-42.91389422818336,1.188409570523462,10.813355034698574,7.814826088908396,13,9,10, , , , ,,, , , , ,,, , , , ,,
AL071947,Storm 7 in 1947,100000,0.5760248301123713,22000000,1947-10-07 04:00:00,50,,FL,5602.736494456242,309855,30.8,-81.5,23.28418598207377,11.075900299104266,8.118472180169546,9.09607866578987,21,28,295, , , , ,,, , , , ,,, , , , ,,
AL091947,Storm 8 in 1947,20000000,135.1281592126333,6640000000,1947-10-12 02:30:00,80,975.0875,FL,5602.736494456242,264170,25.4481,-81.08680000000001,17.2252682133177,6.984984360905026,5.806660880615208,6.37903153724805,16,10,70, , , , ,,, , , , ,,, , , , ,,
AL091947,Storm 8 in 1947,3000000,22.744468520212365,350000000,1947-10-15 12:30:00,90,966.0,GA,5602.736494456242,235421,31.789166666666667,-81.26075,117.99382858101676,8.483809762771426,8.90383067758559,8.832860100081778,15,9,265, , , , ,,, , , , ,,, , , , ,,
AL051948,Storm 5 in 1948,900000,4.848028129540422,44000000,1948-09-04 08:00:00,70,983.5,LA,5887.568113154792,315313,29.26975,-90.39985,-2.5869913521851933,5.885276731720983,4.831062475833139,5.3497158150378405,12,9,25, , , , ,,, , , , ,,, , , , ,,
AL081948,Storm 7 in 1948,12000000,2328.869306172752,5890000000,1948-09-22 05:00:00,115,940.0,FL,5887.568113154792,8752,25.8,-81.3,7.432386462277481,3.378345049582123,6.754916488466893,4.503867758432919,9,0,30, , , , ,,, , , , ,,, , , , ,,
AL091948,Storm 8 in 1948,5500000,23.115321278428542,1150000000,1948-10-05 20:30:00,90,980.4,FL,5887.568113154792,404135,25.192950000000003,-80.81705,-12.379375083743732,7.369708663755473,9.29108752317303,8.320194383575439,14,11,35, , , , ,,, , , , ,,, , , , ,,
AL021949,Storm 2 in 1949,52000000,431.144364992759,25900000000,1949-08-26 23:30:00,115,954.0,FL,5883.180952891654,205007,26.6,-80.05,-2.9206745752028724,2.7667682605716064,2.7667682605716064,2.766768207767648,9,9,295, , , , ,,, , , , ,,, , , , ,,
AL111949,Storm 10 in 1949,6700000,106.80150331445564,1380000000,1949-10-04 05:00:00,95,965.0,TX,5883.180952891654,106631,28.8,-95.6,-1.3308168327878755,7.696415347783897,9.236245123423123,8.209691939663674,14,0,10, , , , ,,, , , , ,,, , , , ,,
AL051950,Easy,3300000,10.219996719294905,2380000000,1950-09-04 12:00:00,85,973.0,FL,6456.844492497567,500084,27.7,-83.5,5.31073520307867,3.211096298814087,2.746173036935013,2.908304607703829,6,74,345, , , , ,,, , , , ,,, , , , ,,
AL111950,King,28000000,73.52967060352489,7220000000,1950-10-18 05:00:00,115,955.0,FL,6456.844492497567,589760,25.7,-80.2,7.018789594617346,6.758450405611389,6.755804586188432,6.757565193813647,13,0,335, , , , ,,, , , , ,,, , , , ,,
AL091951,How,2000000,44.10709557127195,1850000000,1951-10-02 11:00:00,55,992.9375,FL,6985.034383972727,64916,26.75,-82.0,-40.80947340353711,8.432863823496714,8.429300021092857,8.431075665852564,16,11,80, , , , ,,, , , , ,,, , , , ,,
AL021952,Able,2750000,14.010927442306022,210000000,1952-08-31 03:00:00,85,983.0,SC,7260.088943257255,270348,32.3,-80.6,-85.25176992164005,6.404081336476164,6.401515226860173,6.4027878103942255,12,52,340, , , , ,,, , , , ,,, , , , ,,
AL031953,Barbara,1000000,11.23453181722808,78000000,1953-08-14 05:00:00,80,980.5833333333334,NC,7437.094600946325,119686,35.4,-76.1,-27.59007986260692,6.163569055015584,6.659208634325995,6.220937801080731,11,0,15, , , , ,,, , , , ,,, , , , ,,
AL091953,Florence,200000,2.3303755695808537,21000000,1953-09-26 16:00:00,80,968.0,FL,7437.094600946325,115399,30.433333333333334,-86.16666666666667,-25.48388011661781,4.201246628476501,4.200985023394949,4.201071870340711,8,9,20, , , , ,,, , , , ,,, , , , ,,
AL061954,Carol,227500,2.298237021517654,42000000,1954-08-31 01:00:00,97,959.3333333333334,NC,7624.806793479933,129825,34.55816666666667,-75.77276666666667,38.84622173073584,13.845354565157498,14.266585125821003,14.125960816582772,23,66,35, , , , ,,, , , , ,,, , , , ,,
AL061954,Carol,460000000,331.44653677694896,24920000000,1954-08-31 14:00:00,100,955.0,NY,7624.806793479933,1820185,40.9,-72.2,47.85642139874036,22.726621033644665,13.192640728532785,19.54596224679376,34,0,15, , , , ,,, , , , ,,, , , , ,,
AL081954,Edna,40000000,14.439932924224443,4010000000,1954-09-11 19:00:00,97,952.0,MA,7624.806793479933,3633005,41.7,-70.3,-89.09912501695294,20.702278722786712,15.41348026397937,17.989674215181925,40,19,25, , , , ,,, , , , ,,, , , , ,,
AL141954,Hazel,281000000,2069.242957473319,36450000000,1954-10-15 15:30:00,115,938.0,SC,7624.806793479933,178101,33.9,-78.6,96.29328334043716,18.48631326117582,26.064335418462328,24.783317470629736,21,28,5, , , , ,,, , , , ,,, , , , ,,
AL021955,Connie,40000000,274.789028981621,2710000000,1955-08-12 16:00:00,85,962.0,NC,8134.321585236724,178953,34.800000000000004,-76.66666666666667,-25.59737790441297,3.196058477124529,3.195724634016306,3.195835582165634,7,0,15, , , , ,,, , , , ,,, , , , ,,
AL031955,Diane,200000000,1286.7247438411528,21960000000,1955-08-17 12:30:00,62,985.3333333333334,NC,8134.321585236724,191083,34.08416666666667,-77.94416666666667,55.07403274404236,5.659966849558526,5.754782911919739,5.737618323129783,10,9,335, , , , ,,, , , , ,,, , , , ,,
AL031955,Diane,600000000,57.56395904333729,31030000000,1955-08-19 07:00:00,40,1000.3333333333334,NY,8134.321585236724,12813839,40.5358,-74.25736666666667,-101.80581409915892,5.817438837893008,5.469644776672781,5.585560438792564,10,0,75, , , , ,,, , , , ,,, , , , ,,
AL081955,Ione,88035000,612.9573180201901,8410000000,1955-09-19 11:30:00,92,955.0,NC,8134.321585236724,176565,34.75,-76.7,-1.5267928069182275,3.0815430017115344,3.081568350203476,3.0815556759576035,8,0,355, , , , ,,, , , , ,,, , , , ,,
AL071956,Flossy,25000000,200.2473136685157,2060000000,1956-09-24 23:30:00,80,974.1666666666666,LA,8679.65355098353,143837,30.35955,-86.49623333333334,2.527709624162205,5.73288038667721,5.710727746257355,5.7248851930457905,10,11,65, , , , ,,, , , , ,,, , , , ,,
AL021957,Audrey,150000000,544.1961581662082,4750000000,1957-06-27 13:30:00,110,946.0,TX,8974.508681994934,307132,29.8,-93.7,14.248799994983278,10.419162374078471,6.412639331185263,8.404215171650645,17,44,5, , , , ,,, , , , ,,, , , , ,,
AL061957,Esther,1500000,10.77110766878593,73000000,1957-09-18 12:00:00,55,1000.6666666666666,LA,8974.508681994934,155174,29.2,-90.9,17.93054348397622,6.727112320432421,6.414467042020233,6.556296815974271,14,62,25, , , , ,,, , , , ,,, , , , ,,
AL081958,Helene,11200000,58.9963465121442,740000000,1958-09-27 17:00:00,120,938.0,NC,9115.601725038898,208261,33.7665,-77.7919,-53.563602625256856,6.671545481628,6.423818559872515,6.588086175288492,14,35,55, , , , ,,, , , , ,,, , , , ,,
AL011959,Arlene,500000,3.026400553182464,15000000,1959-05-30 22:30:00,55,993.0,LA,9323.660588268503,177197,29.65,-91.6,12.157932284864724,3.07905963729207,3.0791061463431117,3.0790945190803605,6,0,10, , , , ,,, , , , ,,, , , , ,,
AL031959,Not Named 1959,1656000,2.5148688176460414,130000000,1959-06-18 08:00:00,40,1002.0,FL,9323.660588268503,706250,28.0,-82.8,-13.395214967507368,13.149507154421986,14.973066286853749,13.749414217427521,34,0,65, , , , ,,, , , , ,,, , , , ,,
AL051959,Debra,7000000,12.818755129789109,620000000,1959-07-25 05:00:00,75,980.0,TX,9323.660588268503,585687,29.1,-95.2,-2.8326990109425827,3.078771256234246,3.078840103721051,3.078794205396543,4,0,10, , , , ,,, , , , ,,, , , , ,,
